invoice_no,name,city,region,product,brand,store,quantity,unit_price,discount,order_timestamp,payment_mode
INV77192,Priya,Mumbai,Maharashtra,Phone,Samsung,Store Mumbai,1,28000,100,2026-02-22 21:52:00,COD
INV1958,Sneha,Bangalore,Karnataka,Phone,Samsung,Store Bangalore,5,28000,100,2026-01-01 15:58:00,COD
INV40341,Amit,Chennai,Tamil Nadu,Phone,Samsung,Store Chennai,2,28000,100,2026-01-28 07:41:00,UPI
INV85265,Vishal,Delhi,Delhi,Phone,Samsung,Store Delhi,3,28000,500,2026-02-28 12:25:00,COD
INV89073,Amit,Chennai,Tamil Nadu,Phone,Samsung,Store Chennai,1,28000,1000,2026-03-03 03:53:00,UPI
INV74131,Vishal,Delhi,Delhi,Phone,Apple,Store Delhi,2,120000,3000,2026-02-20 18:51:00,CARD
INV17403,Priya,Hyderabad,Telangana,Phone,Samsung,Store Hyderabad,5,28000,100,2026-01-12 09:23:00,UPI
INV10004,Anita,Bangalore,Karnataka,Phone,Samsung,Store Bangalore,2,28000,50,2026-01-07 06:04:00,CARD
INV19194,Anita,Mumbai,Maharashtra,Phone,Samsung,Store Mumbai,5,28000,100,2026-01-13 15:14:00,CARD
INV59632,Vishal,Delhi,Delhi,Phone,Apple,Store Delhi,1,120000,2500,2026-02-10 17:12:00,COD
INV91372,Sneha,Mumbai,Maharashtra,Phone,Samsung,Store Mumbai,5,28000,500,2026-03-04 18:12:00,COD
INV80892,Anita,Chennai,Tamil Nadu,Phone,Samsung,Store Chennai,1,28000,1000,2026-02-25 11:32:00,UPI
INV55372,Priya,Delhi,Delhi,Phone,Apple,Store Delhi,3,120000,3000,2026-02-07 18:12:00,COD
INV69402,Sneha,Chennai,Tamil Nadu,Phone,Apple,Store Chennai,1,120000,5000,2026-02-17 12:02:00,COD
INV57195,Anita,Chennai,Tamil Nadu,Phone,Samsung,Store Chennai,2,28000,100,2026-02-09 00:35:00,UPI
INV8247,Sneha,Chennai,Tamil Nadu,Phone,Apple,Store Chennai,2,120000,3000,2026-01-06 00:47:00,UPI
INV91204,Rahul,Mumbai,Maharashtra,Phone,Samsung,Store Mumbai,2,28000,50,2026-03-04 15:24:00,CARD
INV54376,Rahul,Chennai,Tamil Nadu,Phone,Apple,Store Chennai,3,120000,0,2026-02-07 01:36:00,CARD
INV60049,Vishal,Delhi,Delhi,Phone,Apple,Store Delhi,1,120000,0,2026-02-11 00:09:00,COD
INV73732,Sneha,Chennai,Tamil Nadu,Phone,Apple,Store Chennai,5,120000,0,2026-02-20 12:12:00,UPI
INV34018,Amit,Chennai,Tamil Nadu,Phone,Samsung,Store Chennai,3,28000,100,2026-01-23 22:18:00,CARD
INV28159,Priya,Delhi,Delhi,Phone,Samsung,Store Delhi,4,28000,1000,2026-01-19 20:39:00,UPI
INV57381,Anita,Bangalore,Karnataka,Phone,Samsung,Store Bangalore,4,28000,100,2026-02-09 03:41:00,UPI
INV51215,Anita,Bangalore,Karnataka,Phone,Samsung,Store Bangalore,2,28000,500,2026-02-04 20:55:00,CARD
INV56069,Amit,Delhi,Delhi,Phone,Samsung,Store Delhi,3,28000,100,2026-02-08 05:49:00,UPI
INV74015,Priya,Hyderabad,Telangana,Phone,Apple,Store Hyderabad,2,120000,0,2026-02-20 16:55:00,COD
INV24514,Sneha,Mumbai,Maharashtra,Phone,Samsung,Store Mumbai,1,28000,0,2026-01-17 07:54:00,COD
INV14545,Anita,Hyderabad,Telangana,Phone,Samsung,Store Hyderabad,5,28000,50,2026-01-10 09:45:00,UPI
INV78662,Priya,Bangalore,Karnataka,Phone,Samsung,Store Bangalore,3,28000,1000,2026-02-23 22:22:00,UPI
INV85458,Anita,Mumbai,Maharashtra,Phone,Samsung,Store Mumbai,3,28000,50,2026-02-28 15:38:00,CARD
INV17398,Anita,Mumbai,Maharashtra,Phone,Samsung,Store Mumbai,2,28000,0,2026-01-12 09:18:00,UPI
INV90048,Vishal,Bangalore,Karnataka,Phone,Samsung,Store Bangalore,5,28000,500,2026-03-03 20:08:00,CARD
INV7351,Anita,Chennai,Tamil Nadu,Phone,Samsung,Store Chennai,5,28000,0,2026-01-05 09:51:00,COD
INV89805,Amit,Hyderabad,Telangana,Phone,Samsung,Store Hyderabad,3,28000,500,2026-03-03 16:05:00,CARD
INV56370,Sneha,Chennai,Tamil Nadu,Phone,Apple,Store Chennai,5,120000,2500,2026-02-08 10:50:00,CARD
INV99953,Vishal,Bangalore,Karnataka,Phone,Samsung,Store Bangalore,4,28000,0,2026-03-10 17:13:00,COD
INV72831,Vishal,Chennai,Tamil Nadu,Phone,Samsung,Store Chennai,5,28000,50,2026-02-19 21:11:00,UPI
INV11141,Sneha,Chennai,Tamil Nadu,Phone,Samsung,Store Chennai,3,28000,500,2026-01-08 01:01:00,UPI
INV77589,Rahul,Chennai,Tamil Nadu,Phone,Samsung,Store Chennai,3,28000,500,2026-02-23 04:29:00,COD
INV61658,Rahul,Delhi,Delhi,Phone,Samsung,Store Delhi,1,28000,1000,2026-02-12 02:58:00,UPI
INV85249,Amit,Delhi,Delhi,Phone,Samsung,Store Delhi,4,28000,500,2026-02-28 12:09:00,COD
INV18813,Anita,Mumbai,Maharashtra,Phone,Samsung,Store Mumbai,5,28000,100,2026-01-13 08:53:00,CARD
INV61626,Vishal,Mumbai,Maharashtra,Phone,Apple,Store Mumbai,2,120000,5000,2026-02-12 02:26:00,CARD
INV29219,Anita,Chennai,Tamil Nadu,Phone,Samsung,Store Chennai,3,28000,1000,2026-01-20 14:19:00,CARD
INV88391,Sneha,Mumbai,Maharashtra,Phone,Samsung,Store Mumbai,5,28000,100,2026-03-02 16:31:00,CARD
INV90724,Amit,Hyderabad,Telangana,Phone,Samsung,Store Hyderabad,5,28000,1000,2026-03-04 07:24:00,UPI
INV36744,Vishal,Hyderabad,Telangana,Phone,Samsung,Store Hyderabad,3,28000,1000,2026-01-25 19:44:00,COD
INV75147,Anita,Hyderabad,Telangana,Phone,Samsung,Store Hyderabad,1,28000,500,2026-02-21 11:47:00,CARD
INV48377,Priya,Chennai,Tamil Nadu,Phone,Samsung,Store Chennai,5,28000,1000,2026-02-02 21:37:00,CARD
INV2762,Rahul,Bangalore,Karnataka,Phone,Samsung,Store Bangalore,4,28000,0,2026-01-02 05:22:00,CARD
INV74991,Amit,Chennai,Tamil Nadu,Phone,Apple,Store Chennai,1,120000,5000,2026-02-21 09:11:00,COD
INV13371,Sneha,Chennai,Tamil Nadu,Phone,Samsung,Store Chennai,2,28000,500,2026-01-09 14:11:00,COD
INV50674,Sneha,Chennai,Tamil Nadu,Phone,Samsung,Store Chennai,5,28000,0,2026-02-04 11:54:00,COD
INV23953,Amit,Bangalore,Karnataka,Phone,Apple,Store Bangalore,3,120000,2500,2026-01-16 22:33:00,COD
INV22094,Vishal,Mumbai,Maharashtra,Phone,Apple,Store Mumbai,5,120000,3000,2026-01-15 15:34:00,UPI
INV21951,Priya,Mumbai,Maharashtra,Phone,Apple,Store Mumbai,4,120000,3000,2026-01-15 13:11:00,UPI
INV8416,Amit,Chennai,Tamil Nadu,Phone,Samsung,Store Chennai,3,28000,0,2026-01-06 03:36:00,CARD
INV54045,Sneha,Chennai,Tamil Nadu,Phone,Samsung,Store Chennai,1,28000,0,2026-02-06 20:05:00,COD
INV5338,Sneha,Chennai,Tamil Nadu,Phone,Apple,Store Chennai,5,120000,2500,2026-01-04 00:18:00,CARD
INV8476,Sneha,Chennai,Tamil Nadu,Phone,Apple,Store Chennai,1,120000,3000,2026-01-06 04:36:00,UPI
INV22177,Anita,Bangalore,Karnataka,Phone,Samsung,Store Bangalore,5,28000,1000,2026-01-15 16:57:00,UPI
INV1591,Sneha,Bangalore,Karnataka,Phone,Apple,Store Bangalore,5,120000,0,2026-01-01 09:51:00,UPI
INV30242,Anita,Mumbai,Maharashtra,Phone,Apple,Store Mumbai,1,120000,0,2026-01-21 07:22:00,COD
INV61961,Amit,Mumbai,Maharashtra,Phone,Apple,Store Mumbai,1,120000,10000,2026-02-12 08:01:00,COD
INV73616,Sneha,Mumbai,Maharashtra,Phone,Samsung,Store Mumbai,3,28000,100,2026-02-20 10:16:00,CARD
INV94790,Anita,Chennai,Tamil Nadu,Phone,Apple,Store Chennai,2,120000,2500,2026-03-07 03:10:00,COD
INV83559,Sneha,Chennai,Tamil Nadu,Phone,Apple,Store Chennai,2,120000,2500,2026-02-27 07:59:00,UPI
INV40074,Rahul,Chennai,Tamil Nadu,Phone,Samsung,Store Chennai,4,28000,100,2026-01-28 03:14:00,COD
INV7479,Rahul,Chennai,Tamil Nadu,Phone,Samsung,Store Chennai,5,28000,100,2026-01-05 11:59:00,COD
INV7910,Rahul,Delhi,Delhi,Phone,Apple,Store Delhi,2,120000,0,2026-01-05 19:10:00,UPI
INV33814,Rahul,Chennai,Tamil Nadu,Phone,Samsung,Store Chennai,1,28000,1000,2026-01-23 18:54:00,UPI
INV78413,Rahul,Bangalore,Karnataka,Phone,Apple,Store Bangalore,5,120000,5000,2026-02-23 18:13:00,CARD
INV83807,Rahul,Chennai,Tamil Nadu,Phone,Samsung,Store Chennai,5,28000,100,2026-02-27 12:07:00,UPI
INV96164,Anita,Bangalore,Karnataka,Phone,Apple,Store Bangalore,3,120000,3000,2026-03-08 02:04:00,COD
INV79670,Sneha,Mumbai,Maharashtra,Phone,Samsung,Store Mumbai,5,28000,500,2026-02-24 15:10:00,UPI
INV37775,Sneha,Delhi,Delhi,Phone,Apple,Store Delhi,3,120000,3000,2026-01-26 12:55:00,COD
INV67935,Anita,Bangalore,Karnataka,Phone,Apple,Store Bangalore,5,120000,5000,2026-02-16 11:35:00,CARD
INV60284,Sneha,Hyderabad,Telangana,Phone,Samsung,Store Hyderabad,5,28000,50,2026-02-11 04:04:00,UPI
INV47853,Rahul,Mumbai,Maharashtra,Phone,Samsung,Store Mumbai,3,28000,0,2026-02-02 12:53:00,COD
INV37681,Sneha,Chennai,Tamil Nadu,Phone,Apple,Store Chennai,3,120000,3000,2026-01-26 11:21:00,COD
INV49232,Priya,Mumbai,Maharashtra,Phone,Samsung,Store Mumbai,1,28000,100,2026-02-03 11:52:00,COD
INV71708,Rahul,Delhi,Delhi,Phone,Apple,Store Delhi,4,120000,2500,2026-02-19 02:28:00,COD
INV89635,Anita,Bangalore,Karnataka,Phone,Apple,Store Bangalore,5,120000,0,2026-03-03 13:15:00,UPI
INV77551,Amit,Bangalore,Karnataka,Phone,Apple,Store Bangalore,3,120000,5000,2026-02-23 03:51:00,UPI
INV48689,Sneha,Chennai,Tamil Nadu,Phone,Samsung,Store Chennai,2,28000,50,2026-02-03 02:49:00,CARD
INV10092,Amit,Bangalore,Karnataka,Phone,Samsung,Store Bangalore,3,28000,1000,2026-01-07 07:32:00,CARD
INV54320,Anita,Mumbai,Maharashtra,Phone,Samsung,Store Mumbai,4,28000,50,2026-02-07 00:40:00,UPI
INV30233,Anita,Delhi,Delhi,Phone,Samsung,Store Delhi,2,28000,500,2026-01-21 07:13:00,COD
INV20094,Amit,Chennai,Tamil Nadu,Phone,Apple,Store Chennai,2,120000,2500,2026-01-14 06:14:00,COD
INV71532,Rahul,Chennai,Tamil Nadu,Phone,Apple,Store Chennai,2,120000,0,2026-02-18 23:32:00,COD
INV88620,Priya,Hyderabad,Telangana,Phone,Apple,Store Hyderabad,1,120000,5000,2026-03-02 20:20:00,UPI
INV1511,Vishal,Delhi,Delhi,Phone,Samsung,Store Delhi,5,28000,500,2026-01-01 08:31:00,CARD
INV29693,Amit,Chennai,Tamil Nadu,Phone,Samsung,Store Chennai,2,28000,50,2026-01-20 22:13:00,UPI
INV54496,Amit,Delhi,Delhi,Phone,Samsung,Store Delhi,4,28000,50,2026-02-07 03:36:00,UPI
INV58581,Rahul,Bangalore,Karnataka,Phone,Apple,Store Bangalore,5,120000,0,2026-02-09 23:41:00,COD
INV53121,Rahul,Chennai,Tamil Nadu,Phone,Apple,Store Chennai,5,120000,5000,2026-02-06 04:41:00,CARD
INV24607,Anita,Bangalore,Karnataka,Phone,Apple,Store Bangalore,3,120000,0,2026-01-17 09:27:00,UPI
INV48755,Sneha,Mumbai,Maharashtra,Phone,Samsung,Store Mumbai,1,28000,500,2026-02-03 03:55:00,CARD
INV90022,Anita,Bangalore,Karnataka,Phone,Apple,Store Bangalore,5,120000,2500,2026-03-03 19:42:00,UPI
INV93341,Priya,Hyderabad,Telangana,Phone,Apple,Store Hyderabad,3,120000,5000,2026-03-06 03:01:00,COD
INV89935,Anita,Bangalore,Karnataka,Phone,Apple,Store Bangalore,5,120000,0,2026-03-03 18:15:00,CARD
INV88128,Priya,Delhi,Delhi,Phone,Samsung,Store Delhi,3,28000,0,2026-03-02 12:08:00,COD
INV85670,Amit,Chennai,Tamil Nadu,Phone,Apple,Store Chennai,2,120000,3000,2026-02-28 19:10:00,COD
INV90326,Vishal,Chennai,Tamil Nadu,Phone,Apple,Store Chennai,3,120000,0,2026-03-04 00:46:00,CARD
INV2684,Anita,Delhi,Delhi,Phone,Samsung,Store Delhi,5,28000,1000,2026-01-02 04:04:00,CARD
INV79645,Sneha,Delhi,Delhi,Phone,Apple,Store Delhi,4,120000,2500,2026-02-24 14:45:00,COD
INV49411,Amit,Chennai,Tamil Nadu,Phone,Samsung,Store Chennai,2,28000,100,2026-02-03 14:51:00,CARD
INV46562,Vishal,Hyderabad,Telangana,Phone,Samsung,Store Hyderabad,2,28000,500,2026-02-01 15:22:00,CARD
INV33329,Priya,Chennai,Tamil Nadu,Phone,Samsung,Store Chennai,2,28000,50,2026-01-23 10:49:00,CARD
INV42496,Priya,Delhi,Delhi,Phone,Samsung,Store Delhi,2,28000,1000,2026-01-29 19:36:00,CARD
INV44596,Priya,Mumbai,Maharashtra,Phone,Apple,Store Mumbai,4,120000,2500,2026-01-31 06:36:00,COD
INV6047,Sneha,Mumbai,Maharashtra,Phone,Apple,Store Mumbai,1,120000,10000,2026-01-04 12:07:00,UPI
INV65750,Anita,Delhi,Delhi,Phone,Samsung,Store Delhi,2,28000,1000,2026-02-14 23:10:00,COD
INV49407,Amit,Mumbai,Maharashtra,Phone,Samsung,Store Mumbai,3,28000,1000,2026-02-03 14:47:00,COD
INV80382,Sneha,Mumbai,Maharashtra,Phone,Apple,Store Mumbai,2,120000,0,2026-02-25 03:02:00,COD
INV84956,Priya,Mumbai,Maharashtra,Phone,Apple,Store Mumbai,2,120000,0,2026-02-28 07:16:00,COD
INV17308,Sneha,Delhi,Delhi,Phone,Samsung,Store Delhi,2,28000,500,2026-01-12 07:48:00,CARD
INV76572,Priya,Bangalore,Karnataka,Phone,Apple,Store Bangalore,2,120000,10000,2026-02-22 11:32:00,COD
INV98602,Priya,Bangalore,Karnataka,Phone,Samsung,Store Bangalore,1,28000,1000,2026-03-09 18:42:00,COD
INV1023,Anita,Chennai,Tamil Nadu,Phone,Samsung,Store Chennai,1,28000,1000,2026-01-01 00:23:00,UPI
INV29450,Anita,Chennai,Tamil Nadu,Phone,Apple,Store Chennai,3,120000,10000,2026-01-20 18:10:00,CARD
INV5116,Vishal,Mumbai,Maharashtra,Phone,Samsung,Store Mumbai,5,28000,500,2026-01-03 20:36:00,UPI
INV88847,Vishal,Delhi,Delhi,Phone,Apple,Store Delhi,1,120000,0,2026-03-03 00:07:00,CARD
INV85515,Anita,Bangalore,Karnataka,Phone,Samsung,Store Bangalore,1,28000,100,2026-02-28 16:35:00,UPI
INV78351,Priya,Bangalore,Karnataka,Phone,Samsung,Store Bangalore,1,28000,100,2026-02-23 17:11:00,COD
INV53374,Rahul,Hyderabad,Telangana,Phone,Samsung,Store Hyderabad,3,28000,500,2026-02-06 08:54:00,COD
INV28189,Priya,Mumbai,Maharashtra,Phone,Samsung,Store Mumbai,2,28000,1000,2026-01-19 21:09:00,CARD
INV14264,Priya,Mumbai,Maharashtra,Phone,Samsung,Store Mumbai,3,28000,100,2026-01-10 05:04:00,CARD
INV66619,Amit,Delhi,Delhi,Phone,Samsung,Store Delhi,1,28000,100,2026-02-15 13:39:00,CARD
INV86550,Priya,Mumbai,Maharashtra,Phone,Samsung,Store Mumbai,3,28000,100,2026-03-01 09:50:00,COD
INV80187,Amit,Bangalore,Karnataka,Phone,Apple,Store Bangalore,5,120000,0,2026-02-24 23:47:00,CARD
INV6283,Vishal,Bangalore,Karnataka,Phone,Apple,Store Bangalore,5,120000,3000,2026-01-04 16:03:00,COD
INV67595,Amit,Hyderabad,Telangana,Phone,Samsung,Store Hyderabad,5,28000,1000,2026-02-16 05:55:00,CARD
INV31093,Amit,Delhi,Delhi,Phone,Apple,Store Delhi,5,120000,5000,2026-01-21 21:33:00,CARD
INV32316,Priya,Bangalore,Karnataka,Phone,Apple,Store Bangalore,1,120000,3000,2026-01-22 17:56:00,CARD
INV64230,Amit,Hyderabad,Telangana,Phone,Apple,Store Hyderabad,4,120000,0,2026-02-13 21:50:00,COD
INV43402,Anita,Chennai,Tamil Nadu,Phone,Samsung,Store Chennai,5,28000,1000,2026-01-30 10:42:00,COD
INV67127,Priya,Chennai,Tamil Nadu,Phone,Samsung,Store Chennai,4,28000,1000,2026-02-15 22:07:00,COD
INV11795,Anita,Chennai,Tamil Nadu,Phone,Samsung,Store Chennai,5,28000,0,2026-01-08 11:55:00,CARD
INV39861,Vishal,Mumbai,Maharashtra,Phone,Samsung,Store Mumbai,4,28000,0,2026-01-27 23:41:00,CARD
INV28600,Rahul,Chennai,Tamil Nadu,Phone,Samsung,Store Chennai,5,28000,50,2026-01-20 04:00:00,CARD
INV17786,Priya,Mumbai,Maharashtra,Phone,Apple,Store Mumbai,5,120000,2500,2026-01-12 15:46:00,UPI
INV81098,Vishal,Hyderabad,Telangana,Phone,Samsung,Store Hyderabad,2,28000,0,2026-02-25 14:58:00,UPI
INV59084,Sneha,Delhi,Delhi,Phone,Samsung,Store Delhi,1,28000,0,2026-02-10 08:04:00,CARD
INV95643,Anita,Bangalore,Karnataka,Phone,Samsung,Store Bangalore,3,28000,1000,2026-03-07 17:23:00,CARD
INV25601,Vishal,Delhi,Delhi,Phone,Apple,Store Delhi,3,120000,3000,2026-01-18 02:01:00,COD
INV6760,Amit,Mumbai,Maharashtra,Phone,Samsung,Store Mumbai,1,28000,500,2026-01-05 00:00:00,UPI
INV54039,Vishal,Bangalore,Karnataka,Phone,Apple,Store Bangalore,5,120000,5000,2026-02-06 19:59:00,COD
INV4711,Rahul,Chennai,Tamil Nadu,Phone,Samsung,Store Chennai,4,28000,1000,2026-01-03 13:51:00,CARD
INV53586,Anita,Bangalore,Karnataka,Phone,Apple,Store Bangalore,4,120000,2500,2026-02-06 12:26:00,CARD
INV6004,Amit,Delhi,Delhi,Phone,Samsung,Store Delhi,4,28000,50,2026-01-04 11:24:00,COD
INV71049,Anita,Delhi,Delhi,Phone,Samsung,Store Delhi,4,28000,1000,2026-02-18 15:29:00,COD
INV88223,Vishal,Delhi,Delhi,Phone,Apple,Store Delhi,3,120000,2500,2026-03-02 13:43:00,UPI
INV39617,Sneha,Chennai,Tamil Nadu,Phone,Samsung,Store Chennai,1,28000,100,2026-01-27 19:37:00,CARD
INV78667,Anita,Chennai,Tamil Nadu,Phone,Apple,Store Chennai,2,120000,10000,2026-02-23 22:27:00,CARD
INV51676,Rahul,Bangalore,Karnataka,Phone,Apple,Store Bangalore,5,120000,3000,2026-02-05 04:36:00,UPI
INV13956,Anita,Mumbai,Maharashtra,Phone,Apple,Store Mumbai,4,120000,10000,2026-01-09 23:56:00,CARD
INV31674,Priya,Delhi,Delhi,Phone,Samsung,Store Delhi,4,28000,50,2026-01-22 07:14:00,UPI
INV31429,Sneha,Hyderabad,Telangana,Phone,Apple,Store Hyderabad,3,120000,3000,2026-01-22 03:09:00,COD
INV71898,Amit,Hyderabad,Telangana,Phone,Samsung,Store Hyderabad,2,28000,500,2026-02-19 05:38:00,COD
INV47834,Anita,Mumbai,Maharashtra,Phone,Samsung,Store Mumbai,5,28000,100,2026-02-02 12:34:00,UPI
INV100435,Vishal,Delhi,Delhi,Phone,Samsung,Store Delhi,3,28000,0,2026-03-11 01:15:00,UPI
INV94540,Vishal,Bangalore,Karnataka,Phone,Apple,Store Bangalore,2,120000,5000,2026-03-06 23:00:00,UPI
INV18867,Anita,Bangalore,Karnataka,Phone,Apple,Store Bangalore,4,120000,5000,2026-01-13 09:47:00,COD
INV14012,Priya,Bangalore,Karnataka,Phone,Samsung,Store Bangalore,1,28000,0,2026-01-10 00:52:00,CARD
INV55911,Priya,Bangalore,Karnataka,Phone,Samsung,Store Bangalore,1,28000,50,2026-02-08 03:11:00,COD
INV73755,Amit,Chennai,Tamil Nadu,Phone,Samsung,Store Chennai,5,28000,500,2026-02-20 12:35:00,UPI
INV65458,Vishal,Hyderabad,Telangana,Phone,Apple,Store Hyderabad,4,120000,3000,2026-02-14 18:18:00,CARD
INV46520,Sneha,Mumbai,Maharashtra,Phone,Samsung,Store Mumbai,3,28000,100,2026-02-01 14:40:00,CARD
INV16634,Vishal,Hyderabad,Telangana,Phone,Apple,Store Hyderabad,1,120000,10000,2026-01-11 20:34:00,UPI
INV93748,Amit,Delhi,Delhi,Phone,Samsung,Store Delhi,5,28000,0,2026-03-06 09:48:00,CARD
INV55682,Amit,Mumbai,Maharashtra,Phone,Apple,Store Mumbai,2,120000,0,2026-02-07 23:22:00,COD
INV37053,Amit,Mumbai,Maharashtra,Phone,Apple,Store Mumbai,5,120000,0,2026-01-26 00:53:00,COD
INV45903,Anita,Chennai,Tamil Nadu,Phone,Apple,Store Chennai,1,120000,3000,2026-02-01 04:23:00,COD
INV43287,Amit,Mumbai,Maharashtra,Phone,Samsung,Store Mumbai,4,28000,0,2026-01-30 08:47:00,UPI
INV40681,Amit,Chennai,Tamil Nadu,Phone,Apple,Store Chennai,2,120000,0,2026-01-28 13:21:00,COD
INV45981,Sneha,Hyderabad,Telangana,Phone,Apple,Store Hyderabad,4,120000,0,2026-02-01 05:41:00,COD
INV86856,Priya,Mumbai,Maharashtra,Phone,Samsung,Store Mumbai,1,28000,100,2026-03-01 14:56:00,UPI
INV100971,Sneha,Delhi,Delhi,Phone,Samsung,Store Delhi,3,28000,50,2026-03-11 10:11:00,CARD
INV94895,Sneha,Delhi,Delhi,Phone,Apple,Store Delhi,1,120000,5000,2026-03-07 04:55:00,COD
INV23770,Vishal,Mumbai,Maharashtra,Phone,Apple,Store Mumbai,1,120000,3000,2026-01-16 19:30:00,CARD
INV24603,Vishal,Mumbai,Maharashtra,Phone,Apple,Store Mumbai,2,120000,10000,2026-01-17 09:23:00,UPI
INV24086,Vishal,Delhi,Delhi,Phone,Apple,Store Delhi,3,120000,5000,2026-01-17 00:46:00,CARD
INV84546,Rahul,Mumbai,Maharashtra,Phone,Samsung,Store Mumbai,2,28000,100,2026-02-28 00:26:00,UPI
INV90629,Vishal,Delhi,Delhi,Phone,Samsung,Store Delhi,2,28000,100,2026-03-04 05:49:00,COD
INV100839,Rahul,Delhi,Delhi,Phone,Samsung,Store Delhi,3,28000,1000,2026-03-11 07:59:00,CARD
INV69098,Sneha,Hyderabad,Telangana,Phone,Samsung,Store Hyderabad,2,28000,1000,2026-02-17 06:58:00,CARD
INV43086,Amit,Hyderabad,Telangana,Phone,Apple,Store Hyderabad,4,120000,10000,2026-01-30 05:26:00,CARD
INV60299,Sneha,Chennai,Tamil Nadu,Phone,Apple,Store Chennai,1,120000,3000,2026-02-11 04:19:00,UPI
INV38189,Amit,Bangalore,Karnataka,Phone,Samsung,Store Bangalore,1,28000,100,2026-01-26 19:49:00,COD
INV13242,Sneha,Bangalore,Karnataka,Phone,Apple,Store Bangalore,2,120000,3000,2026-01-09 12:02:00,COD
INV33604,Amit,Delhi,Delhi,Phone,Samsung,Store Delhi,5,28000,0,2026-01-23 15:24:00,CARD
INV69749,Rahul,Bangalore,Karnataka,Phone,Apple,Store Bangalore,1,120000,3000,2026-02-17 17:49:00,CARD
INV32961,Rahul,Mumbai,Maharashtra,Phone,Apple,Store Mumbai,5,120000,5000,2026-01-23 04:41:00,COD
INV15064,Sneha,Bangalore,Karnataka,Phone,Samsung,Store Bangalore,5,28000,1000,2026-01-10 18:24:00,COD
INV84310,Priya,Bangalore,Karnataka,Phone,Apple,Store Bangalore,2,120000,2500,2026-02-27 20:30:00,COD
INV39136,Anita,Hyderabad,Telangana,Phone,Samsung,Store Hyderabad,1,28000,100,2026-01-27 11:36:00,CARD
INV37114,Vishal,Hyderabad,Telangana,Phone,Apple,Store Hyderabad,2,120000,10000,2026-01-26 01:54:00,CARD
INV2002,Sneha,Delhi,Delhi,Phone,Samsung,Store Delhi,3,28000,100,2026-01-01 16:42:00,COD
INV85159,Sneha,Mumbai,Maharashtra,Phone,Samsung,Store Mumbai,1,28000,500,2026-02-28 10:39:00,CARD
INV53515,Priya,Bangalore,Karnataka,Phone,Apple,Store Bangalore,5,120000,2500,2026-02-06 11:15:00,CARD
INV93559,Rahul,Delhi,Delhi,Phone,Apple,Store Delhi,2,120000,10000,2026-03-06 06:39:00,UPI
INV95969,Amit,Chennai,Tamil Nadu,Phone,Apple,Store Chennai,5,120000,5000,2026-03-07 22:49:00,COD
INV25273,Vishal,Bangalore,Karnataka,Phone,Samsung,Store Bangalore,5,28000,500,2026-01-17 20:33:00,CARD
INV84457,Priya,Hyderabad,Telangana,Phone,Apple,Store Hyderabad,5,120000,5000,2026-02-27 22:57:00,UPI
INV58161,Priya,Chennai,Tamil Nadu,Phone,Samsung,Store Chennai,2,28000,1000,2026-02-09 16:41:00,CARD
INV72485,Anita,Hyderabad,Telangana,Phone,Apple,Store Hyderabad,1,120000,2500,2026-02-19 15:25:00,UPI
INV96491,Anita,Delhi,Delhi,Phone,Apple,Store Delhi,5,120000,0,2026-03-08 07:31:00,CARD
